Latitude,Longitude
39,734439783322436.-8,820685744285583
39,73483581294335.-8,820079565048218
39,73506682917143.-8,82002055644989
39,73520296337183.-8,820127844810486
39,73529784462524.-8,820047378540039
39,73574749748473.-8,819956183433533
39,73585062846098.-8,8200044631958
39,7362961525051.-8,82053017616272
39,7363044029232.-8,820868134498596
39,73641990867295.-8,820996880531311
39,735860941550115.-8,821983933448792
39,73604657689069.-8,82215291261673
39,73613114393565.-8,822150230407715
39,736201272625934.-8,822104632854462
39,73681798950585.-8,82153332233429
39,73727382017472.-8,821098804473877
39,73759145605305.-8,820809125900269
39,73782865072175.-8,820594549179077
39,73809472029173.-8,82014662027359
39,73830097506557.-8,819701373577118
39,73861448113964.-8,818810880184174
39,738843422174334.-8,818226158618927
39,73884135964588.-8,817979395389557
39,73891973568356.-8,817713856697083
39,73920642621994.-8,817628026008606
39,73934667727092.-8,817432224750519
39,739344614757535.-8,817054033279419
39,739354927323866.-8,816761672496796
39,73934667727092.-8,8162761926651
39,739344614757535.-8,815731704235077
39,73935080229752.-8,815417885780334
39,73935286481072.-8,814696371555328
39,73934667727092.-8,814251124858856
39,739354927323866.-8,813626170158386
39,73936730240141.-8,813285529613495
39,73948074050874.-8,81289929151535
39,7396973036497.-8,812534511089325
39,739926241087296.-8,812362849712372
39,739996365916035.-8,81226897239685
39,74009742804368.-8,812196552753448
39,740270677060565.-8,811971247196198
39,7405738617921.-8,811673521995544
39,740817233604695.-8,811442852020264
39,740967793702495.-8,811268508434296
39,74136997317275.-8,810584545135498
39,74154734388558.-8,810659646987915
39,74174121367739.-8,81080448627472
39,742308382808794.-8,81113976240158
39,74228775855853.-8,811311423778534
39,742213511206465.-8,811330199241638
39,74206914112625.-8,811673521995544
39,741970144325.-8,811979293823242
39,74190002150473.-8,8121697306633
39,741864960067836.-8,812333345413208
39,74189795906776.-8,8124218583107
39,74188970931926.-8,81251573562622
39,74196189458514.-8,812722265720367
39,74205882896608.-8,812880516052246
39,74233931917261.-8,813087046146393
39,74265074446144.-8,813328444957733
39,74276417716396.-8,813454508781433
39,742912670601434.-8,813757598400116
39,74298897960454.-8,814020454883575
39,742997229221444.-8,814162611961365
39,74295804353238.-8,814460337162018
39,742914733008035.-8,814666867256165
39,742813675012016.-8,814865350723267
39,74268374308507.-8,815090656280518
39,74253937399.-8,815348148345947
39,742376442790864.-8,815195262432098
39,742106264890054.-8,81491094827652
39,74196189458514.-8,814747333526611
39,74161127972827.-8,814304769039154
39,7415329067516.-8,814294040203094
39,741084322867444.-8,814409375190735
